"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Media Institute of Southern Africa (MISA)","","","Zambia; Four Post Journalists Discharged","240 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Southern Africa; MISA Appoints Directors To Regional Fund","614 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Tanzania; High Court Acquits Journalist, Quashes Conviction","814 words"," Africa News","","",
"World Health Organization (Geneva)","","","Science and Health; Lassa Fever - Sierra Leone","600 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ethiopia News Roundup","1627 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;AARH expects over rent arrears from embassies","214 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;President says Ethiopia to step up ties with Denmark","267 words"," Africa News","","",
"Abebe Gelaw, Ethiopian News Agency","","","Africa-at-Large;ICRC-OAU seminar on African human rights","600 words"," Africa News","","",
"Seifu Mahifere, Ethiopian News Agency","","","Ethiopia;House discusses National Seed Agency and trade","894 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Police shoot four pro-Mpumalanga demonstrators","614 words"," Africa News","","",
"Scotch Mndebele, African Eye News Service (South Africa)","","","South Africa;Litterers may face charges","120 words"," Africa News","","",
"Landiwe Dlamini, African Eye News Service (South Africa)","","","South Africa;Call for unemployed youth to help police","400 words"," Africa News","","",
"Sharkey Isaacs, Cape Argus (Cape Town)","","","Arts and Entertainment;Profile: Rodney Phillips","814 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","Business and Finance;Ukhozi gets stake in City Press","547 words"," Africa News","","",
"Hugh Roberton, Cape Argus (Cape Town)","","","Sports - General;A tale of two cities, with a twist in the tail","2107 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;2004 team recruits gangs to fight crime","734 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;Why we must give peace a chance","534 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Promises and delivery (Editorial)","414 words"," Africa News","","",
"Johan Schronen, Cape Argus (Cape Town)","","","South Africa;Five hurt in Pagad raid in Bo-Kaap","1054 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Zaire;Salim Says Zaire Needs Negotiated Transition","374 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Irish Expert To Run Air Zimbabwe","520 words"," Africa News","","",
"Panafrican News Agency","","","Burundi;Burundi Denies Links with Zairian Rebels","374 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;African Fund Loans Zambia 20.8 Million Dollars","307 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Sports - Soccer;Kanu May Play For Nigeria In Next World Cup Tie","707 words"," Africa News","","",
"Panafrican News Agency","","","Zaire;All set For Zairian Peace Talks","387 words"," Africa News","","",
"World Food Programme","","","Africa-at-Large; WFP Emergency Report No. 18 - Africa (05/02)","3240 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Swaziland; Government Plans Editorial Policy For State-Media","894 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Mpumalanga's fun also lays across the border","1254 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Court challenge to affirmative action policies fails","547 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Police call for public to finger bad cops","947 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Rioting youths arrested for ambushing, burning trucks","574 words"," Africa News","","",
"Lindsay Barnes, Cape Argus (Cape Town)","","","South Africa;Leaders refuse to help launch anti-crime plan","480 words"," Africa News","","",
"David Yutar, Cape Argus (Cape Town)","","","South Africa;Stephen Smith: Gentile who founded UK's Holocaust memorial","1427 words"," Africa News","","",
"Llewellyn Jones, Cape Argus (Cape Town)","","","Business and Finance;JSE pessimism about Sea Harvest 'unwarranted'","627 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Britain's election and South Africa (Editorial)","414 words"," Africa News","","",
"Staff Reporter, Cape Argus (Cape Town)","","","Sports - General;RUGBY: Control crime or I'll stay in UK - Stransky","267 words"," Africa News","","",
"Dr Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Ethiopia;A History of Twentieth Century Ethiopia, Part 17","1347 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Eritrea;Eritrea Appalled at Distortion of President's Speech","360 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;UNICEF Deputy Executive Director Visits Ethiopia","240 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Wegagen Bank Share Company Formed in Addis","133 words"," Africa News","","",
"Our Staff Reporters, Addis Tribune (Addis Ababa)","","","United States and Africa;US Embassy Gets Ready For Addis Trade Exhibition","680 words"," Africa News","","",
