"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","CURRENCY EXCHANGE RATES","1490 words"," Africa News","","",
"","","","BUSINESS","1187 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","3894 words"," Africa News","","",
"","","","EMPLOYMENT","5427 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1054 words"," Africa News","","",
"","","","PUBLICATIONS","80 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","840 words"," Africa News","","",
"","","","PLANNING AHEAD","3200 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","386 words"," Africa News","","",
"Chris Louw, THE WEEKLY MAIL & GUARDIAN, Dec. 30, 1993 - Jan. 6, 1994","","","A PHALANX OF NEW FACES READY","920 words"," Africa News","","",
"DAILY OBSERVER, December 28,1993","","","THE STRASSER GOVERNMENT'S PROGRAMME FOR CONSTITUTIONAL RULE","1747 words"," Africa News","","",
"Abdou Karim Sanneh, DAILY OBSERVER, December 6, 1993","","","WOMEN AND THE FUELWOOD CRISIS","947 words"," Africa News","","",
"EDICESA NEWS, November 1993","","","HOPE FOR STREET GIRLS","1614 words"," Africa News","","",
"Alle Badara Sheriff, DAILY OBSERVER, December 11, 1993","","","WHERE THE SLAVES ARE REMEMBERED","747 words"," Africa News","","",
"Cindy Shiner","","","IVORY COAST CFA","1014 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","1583 words"," Africa News","","",
"","","","BUSINESS","1254 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","2347 words"," Africa News","","",
"","","","EMPLOYMENT","4627 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","774 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","720 words"," Africa News","","",
"","","","PLANNING AHEAD","3080 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","293 words"," Africa News","","",
"Mr. Layashi Yaker, Executive Secretary of the UN Economic Commission for Africa","","","FREEING UP AFRICA'S AID FLOWS: ECA HEAD URGES ASSISTANCE TO IMPROVE ECONOMIC GOVERNANCE","1694 words"," Africa News","","",
"Sarah Miremba and Staff Writer from The Monitor (Uganda)","","","AN EARTHQUAKE SHAKES THE UGANDA PRESS","2480 words"," Africa News","","",
"General Sani Abacha, Nigerian Head of State","","","OUR MISSION: EXCERPTS FROM THE 1994 BUDGET SPEECH","1400 words"," Africa News","","",
"THE MONITOR (Uganda)","","","MUSEVENI, MOI, MWINYI IN 'SECRET' PLAN FOR JOINT ARMY","800 words"," Africa News","","",
"Jeff Drumtra","","","NO PLACE LIKE HOME: MOZAMBICAN REFUGEES BEGIN AFRICA'S LARGEST REPATRIATION","4254 words"," Africa News","","",
"Cindy Shiner","","","CONGO FINDS DEMOCRACY TOUGH GOING","1854 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","2420 words"," Africa News","","",
"","","","BUSINESS","1120 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","3027 words"," Africa News","","",
"","","","EMPLOYMENT","5694 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1134 words"," Africa News","","",
"","","","AFRICAN VISITORS TO THE U.S.","1120 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","747 words"," Africa News","","",
"","","","PLANNING AHEAD","3414 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","600 words"," Africa News","","",
"Bona Malwal","","","A VISIT WITH A DIFFERENCE: ARCHBISHOP CAREY IN SOUTHERN SUDAN","814 words"," Africa News","","",
"Dr. Tajudeen Abdul-Raheem, General Secretary, PAC","","","NEW DATE SET FOR 7TH PAC TO BE HELD IN KAMPALA, UGANDA APRIL 3-8, 1994","1240 words"," Africa News","","",
"Pat Sidley and Reg Rumney","","","ANC CONTROVERSY OVER ABORTION PLAN","694 words"," Africa News","","",
"Enoch Sithole","","","WILL POTENTIAL VOTERS KNOW HOW TO MAKE THEIR X'S?","1147 words"," Africa News","","",
