"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Mamadou Amath, PANA Correspondent, Panafrican News Agency","","","Cape Verde;Cape Verde Makes Progress In Family Health","827 words"," Africa News","","",
"Panafrican News Agency","","","Uganda;Uganda Has Appalling Teenage Pregnancy Rates","720 words"," Africa News","","",
"Ali Dellali, PANA Correspondent, Panafrican News Agency","","","Tunisia;Two Opposition Leaders Released For Health Reasons","254 words"," Africa News","","",
"Lionel Williams, PANA Correspondent, Panafrican News Agency","","","South Africa;Opposition Slams South African Government","387 words"," Africa News","","",
"Panafrican News Agency","","","Southern Africa;COMESA Drops UAPTA Travellers Cheques","320 words"," Africa News","","",
"Panafrican News Agency","","","Nigeria;Commonwealth Chides Nigeria On Military Rule","534 words"," Africa News","","",
"Dorcas Chirambwe PANA Corespondent, Panafrican News Agency","","","Zimbabwe;Teenage Pregnancy Home Rescues Jilted Pregnant Girls in Zimbabwe","1107 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;World Bank Unveils Anti-Poverty Plan For Africa","267 words"," Africa News","","",
"Panafrican News Agency","","","Mozambique;More Mozambicans Work In South African Mines","547 words"," Africa News","","",
"Panafrican News Agency","","","Libya;Eight Libyans Sentenced To Death For Treason","174 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa: Weekly Press Review","454 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Ghana Stock Exchange Opens Year Quietly","720 words"," Africa News","","",
"Panafrican News Agency","","","Science and Health;Cholera Killed 5,000 In Africa Last Year","307 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;OAU Examining Africa Peace Force","374 words"," Africa News","","",
"Bouazza Ben Bouazza, PANA Correspondent, Panafrican News Agency","","","Sports - Soccer;Tunisia's Benrekhissa Dies In Friendly Game","725 words"," Africa News","","",
"Frank Agyekum, PANA Correspondent, Panafrican News Agency","","","Ghana;Ghana's Rawlings Takes Oath Tuesday","347 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Somalia;Banana Revenue Fuelling War In Mogadishu","454 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;U.S. & Senegal Discuss African Reaction Force","467 words"," Africa News","","",
"Bouazza Ben Bouazza, PANA Correspondent, Panafrican News Agency","","","Sports - Soccer;Tunisia's Benrekhissa Dies In Friendly Game","320 words"," Africa News","","",
"Frank Agyekum, PANA Correspondent, Panafrican News Agency","","","Ghana;Ghana's Rawlings Takes Oath Tuesday","347 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Somalia;Banana Revenue Fuelling War In Mogadishu","454 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;U.S. & Senegal Discuss African Reaction Force","467 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Currency: CFA Franc Looses Ground, Cedi Stable","867 words"," Africa News","","",
